,0
0,112654.50604533963
1,147988.56747839006
2,159036.3853544303
3,177697.1168353051
4,209986.00410167375
5,171427.64910245338
6,169542.41780754167
7,168558.78685366584
8,192484.3621911869
9,104453.92347934326
10,199700.5128498569
11,127178.90553520998
12,118344.18152808963
13,152078.43104800003
14,146870.2073120861
15,352802.24142639677
16,254844.18088191614
17,295998.1196830113
18,281439.0849662571
19,443245.8036617818
20,296765.64574393595
21,234337.85736784065
22,182390.52188417054
23,192006.53240706207
24,188538.34449339143
25,208808.49053726628
26,306928.8772373614
27,254407.15953480508
28,197267.51057317888
29,193611.03738077788
30,205623.32787372117
31,103399.31453985118
32,180614.86907525363
33,274969.65907795436
34,269661.25914924865
35,219036.8358360378
36,202012.0384451255
37,174708.69292026316
38,175245.08397476576
39,158857.42853887996
40,171323.15650762388
41,167842.74903146428
42,247104.64482150553
43,239496.257092178
44,215038.61207669924
45,189878.76743047358
46,229275.82354947057
47,182002.00830624904
48,160163.2911379839
49,132698.13128982633
50,131293.96041053897
51,146276.47386339924
52,165039.19788011682
53,173202.80207366997
54,205593.1339787288
55,139284.23483312444
56,154849.54536133006
57,147446.25841047423
58,219461.0419605953
59,125281.85915953424
60,126819.43536697188
61,164360.39038912556
62,108591.61558120497
63,114986.12136893236
64,112137.99752954966
65,115341.3621674128
66,100410.8397911442
67,142614.75072856512
68,125984.26384378286
69,163899.4460000216
70,113199.75512132929
71,100525.69405801958
72,133203.02773894428
73,139788.94182527077
74,148806.1620339084
75,114855.70970281318
76,73017.81648986216
77,171635.28204260298
78,201083.8361882704
79,140273.25544343633
80,139949.48909979613
81,145438.13889176177
82,197069.00682703627
83,84899.14978860943
84,117291.0200856448
85,124838.57595852103
86,122286.07031721572
87,132871.67227782324
88,107861.83876497237
89,118251.04090411321
90,119232.30945953554
91,115044.15889881334
92,143021.09044577283
93,129945.87348462376
94,151734.8916168367
95,103516.73722509146
96,107612.91396382193
97,111437.20059578943
98,111186.20020655401
99,115997.7650865708
100,140062.25226400245
101,126547.42133015627
102,114661.60225790933
103,149675.82176920865
104,130188.31015813013
105,203486.50230207763
106,84495.93898989797
107,190745.5806334505
108,109416.19725945166
109,139736.07966789484
110,125552.68739677673
111,133862.34100761588
112,228102.76596015823
113,133465.2584287933
114,196294.89784298156
115,184228.4973319632
116,201232.54562978834
117,127523.85930324359
118,136370.67163359196
119,204254.9930903945
120,137219.9529092914
121,118090.32535257214
122,295895.8417397235
123,229374.04083218047
124,152502.99693441292
125,86750.88200432113
126,113993.95239135316
127,132475.61068111006
128,98604.42991760946
129,145967.02525533296
130,102337.7976369633
131,128065.0686076392
132,114570.06295027224
133,156182.02025057713
134,123690.2302820713
135,201950.99317205694
136,166376.74098904323
137,199949.47818858782
138,189980.41936670712
139,199987.03878943642
140,65019.926110975015
141,119625.9719641545
142,78709.5230381182
143,257995.82920672698
144,244738.7545830422
145,156931.97712326556
146,214009.1545351087
147,208634.31776549088
148,199791.40070963692
149,155267.6947488451
150,137978.71094094045
151,170740.42833479543
152,162921.5913898047
153,122639.24003401701
154,105324.26208151554
155,105324.26208151554
156,106350.0992322906
157,126508.74727883963
158,122891.42456999976
159,188126.27707183477
160,137460.92073291983
161,133998.53512729623
162,261908.23997749278
163,189380.72105232216
164,122090.97288897308
165,164796.6873401614
166,177287.36574950212
167,276664.6832044206
168,199424.85471162054
169,372902.71383939026
170,232600.0863723779
171,256770.58014514425
172,183961.7180294071
173,181209.9785664534
174,167034.24817404163
175,163677.89891238234
176,154997.74728556944
177,211054.59073051423
178,188031.95224227876
179,270709.03596986196
180,195794.94222870687
181,221088.80074611225
182,247239.19460204695
183,242031.84438946616
184,161942.3756976165
185,144516.85118861642
186,165914.75163638924
187,134102.8167422881
188,127957.15599406908
189,104460.23526621083
190,113278.02595627232
191,128417.60252215833
192,127796.7532460183
193,155786.6479477558
194,157562.04279213384
195,153559.64441059498
196,157303.9785978942
197,154763.60595821406
198,148434.16126036138
199,139111.25405442013
200,390130.73663042963
201,363355.2441772196
202,341047.9877275254
203,493331.0037515132
204,304585.7486619513
205,272052.0950832379
206,322498.09695632657
207,307560.0271910723
208,277241.81559177185
209,313118.51289180724
210,243362.5003207202
211,401469.10326500505
212,282290.64337623934
213,256320.64095150158
214,186333.074061482
215,181819.06916141856
216,209322.47928597633
217,453546.6136514575
218,322173.75853669294
219,324362.1459518225
220,272786.44449041673
221,263532.66152452264
222,209718.29787956428
223,193888.2672332436
224,175217.97688236175
225,196168.5522223737
226,188089.36277437708
227,204955.12890631412
228,202086.09127676167
229,197815.83083444837
230,186675.66243758742
231,250945.12587899054
232,188705.9491248878
233,173559.89005243464
234,187375.36225780257
235,252130.77403325465
236,186912.53367995628
237,319864.0707119144
238,295453.2665406809
239,224773.89124236244
240,268325.1392925835
241,269166.5770789383
242,265439.2607138335
243,268545.6738534138
244,240329.49775958553
245,411478.8709946271
246,216652.78261163828
247,215076.56573862935
248,279241.7232408528
249,241039.34318512375
250,241721.99835614715
251,287752.94361852313
252,237653.63308279056
253,222272.54083638548
254,201533.73663657298
255,200914.96756421495
256,194395.86289652294
257,172242.79930452464
258,213755.52690358064
259,244306.3965906032
260,190877.37358300612
261,152593.15423231895
262,149699.27706548464
263,218801.44260860875
264,225013.94826122714
265,174888.30231839317
266,170797.0388556171
267,185955.23747577553
268,154876.56211769916
269,176928.494220042
270,117346.72659409026
271,112553.98469854341
272,112553.98469854341
273,120061.70472776002
274,125287.00225365527
275,114836.51632006226
276,268601.93177970225
277,210746.70584603417
278,312914.0456724659
279,220423.17823619294
280,184860.44915208576
281,169486.01494413905
282,186324.00783283802
283,247819.00959661521
284,218329.8313681508
285,266576.2685834629
286,211070.65241125954
287,221695.23838559518
288,137978.8360969281
289,148501.94445603472
290,239681.18376188524
291,114815.79519818592
292,153307.03965327828
